
2019-05-29 15:02:52 : 

[*] Agent info:
  nonce           	9183241390714820
  jitter          	0.6
  servers         	None
  internal_ip     	192.168.153.140
  working_hours   	
  session_key     	ub_e*?jE-]`L&h9!OS3kz$xpQHUWRN>/
  children        	None
  checkin_time    	2019-05-29 15:02:52
  hostname        	WIN-JEQCV2C1G8I
  id              	2
  delay           	6
  username        	WIN-JEQCV2C1G8I\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	3224
  profile         	/aduin/gut.php,/nuws.php,/lugin/pruccess.php |Mozilla/5.0 (X11; Linux
                                x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75
                                Safari/537.36
  os_details      	Microsoft Windows 7 Professional
  lost_limit      	0
  taskings        	None
  name            	4SLPV1F8
  language        	powershell
  external_ip     	192.168.153.140
  session_id      	4SLPV1F8
  lastseen_time   	2019-05-29 15:02:52
  language_version	2
  high_integrity  	0


[+] Agent 4SLPV1F8 now active:

