
2019-05-28 18:59:56 : 

[*] Agent info:
  nonce           	0609126891454401
  jitter          	0.6
  servers         	None
  internal_ip     	192.168.153.140
  working_hours   	
  session_key     	VWJ~.uxo6apdTX)b[@Ien+ik5%(B&,>:
  children        	None
  checkin_time    	2019-05-28 18:59:56
  hostname        	WIN-JEQCV2C1G8I
  id              	6
  delay           	6
  username        	WIN-JEQCV2C1G8I\User
  kill_date       	
  parent          	None
  process_name    	powershell_ise
  listener        	http
  process_id      	4140
  profile         	/aduin/gut.php,/nuws.php,/lugin/pruccess.php |Mozilla/5.0 (X11; Linux
                                x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75
                                Safari/537.36
  os_details      	Microsoft Windows 7 Professional
  lost_limit      	0
  taskings        	None
  name            	4WC2S87L
  language        	powershell
  external_ip     	192.168.153.140
  session_id      	4WC2S87L
  lastseen_time   	2019-05-28 18:59:56
  language_version	2
  high_integrity  	0


[+] Agent 4WC2S87L now active:

