
2019-05-28 18:57:48 : 

[*] Agent info:
  nonce           	4700044142170467
  jitter          	0.6
  servers         	None
  internal_ip     	192.168.153.140
  working_hours   	
  session_key     	_IH~>)J@u]6\$hXFt5Rx^T(O3y*remWw
  children        	None
  checkin_time    	2019-05-28 18:57:48
  hostname        	WIN-JEQCV2C1G8I
  id              	4
  delay           	6
  username        	WIN-JEQCV2C1G8I\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	3224
  profile         	/aduin/gut.php,/nuws.php,/lugin/pruccess.php |Mozilla/5.0 (X11; Linux
                                x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75
                                Safari/537.36
  os_details      	Microsoft Windows 7 Professional
  lost_limit      	0
  taskings        	None
  name            	WMV7L8RB
  language        	powershell
  external_ip     	192.168.153.140
  session_id      	WMV7L8RB
  lastseen_time   	2019-05-28 18:57:48
  language_version	2
  high_integrity  	0


[+] Agent WMV7L8RB now active:

